DN (mm),DE (mm),Limit Deviation (mm),C25,C30,C40,C50,C64,C100,As Per BS EN 598 (PresurePipe),K7,K9
80,98,+1/-2.7,,,4.4,4.4,4.4,4.8,4.8,5.0,6.0
100,118,+1/-2.8,,,4.4,4.4,4.4,5.5,4.8,5.0,6.0
125,144,+1/-2.8,,,4.5,4.5,4.8,6.5,4.8,5.0,6.0
150,170,+1/-2.9,,,4.5,4.5,5.3,7.4,4.8,5.0,6.0
200,222,+1/-3.0,,,4.7,5.4,6.5,9.2,4.9,5.0,6.3
250,274,+1/-3.1,,,5.5,6.4,7.8,11.1,5.3,5.3,6.8
300,326,+1/-3.3,,5.1,6.2,7.4,8.9,12.9,5.6,5.6,7.2
350,378,+1/-3.4,5.1,6.3,7.1,8.4,10.2,14.8,6.0,6.0,7.7
400,429,+1/-3.5,5.5,6.5,7.8,9.3,11.3,16.5,6.3,6.3,8.1
450,480,+1/-3.6,6.1,6.9,8.6,10.3,12.6,18.4,6.7,6.6,8.6
500,532,+1/-3.8,6.5,7.5,9.3,11.2,13.7,20.2,7.0,7.0,9.0
600,635,+1/-4.0,7.6,8.7,10.9,13.1,16.1,23.8,7.7,7.7,9.9
700,738,+1/-4.3,8.8,9.9,12.4,15.0,18.5,27.5,9.6,8.4,10.8
750,790,+1,,,,,,,,8.8,11.3
800,842,+1/-4.5,9.6,11.1,14.0,16.9,21.0,,10.4,9.1,11.7
900,945,+1/-4.8,10.6,12.3,15.5,18.8,23.4,,11.2,9.8,12.6
1000,1048,+1/-5.0,11.6,13.4,17.1,20.7,,,12.0,10.5,13.5
1100,1152,+1/-6.0,12.6,14.6,18.6,22.6,,,14.4,11.2,14.4
1200,1255,+1/-6.2,13.6,15.8,20.2,24.5,,,15.3,11.9,15.3
